Artist,Album,Year,Song,Billboard Peak,Weeks on Hot 100,Spotify Explicit Tag?
Miley Cyrus,Endless Summer Vacation,2023,Rose Colored Lenses,91,1,
Miley Cyrus,Endless Summer Vacation,2023,Used To Be Young,8,9,
Miley Cyrus,Endless Summer Vacation,2023,Thousand Miles (feat. Brandi Carlile),68,1,
Miley Cyrus,Endless Summer Vacation,2023,You ,,,
Miley Cyrus,Endless Summer Vacation,2023,Handstand,,,E
Miley Cyrus,Endless Summer Vacation,2023,River,32,4,
Miley Cyrus,Endless Summer Vacation,2023,Violet Chemistry,,,
Miley Cyrus,Endless Summer Vacation,2023,Muddy Feet (feat. Sia),,,E
Miley Cyrus,Endless Summer Vacation,2023,Wildcard,,,
Miley Cyrus,Endless Summer Vacation,2023,Wonder Woman ,,,
Miley Cyrus,Endless Summer Vacation,2023,Flowers (Demo),,,
Selena Gomez,Kiss & Tell ,2009,Kiss & Tell,,,
Selena Gomez,Kiss & Tell ,2009,I Won't Apologize,,,
Selena Gomez,Kiss & Tell ,2009,Falling Down,82,7,
Selena Gomez,Kiss & Tell ,2009,I Promise You,,,
Selena Gomez,Kiss & Tell ,2009,Crush,,,
Selena Gomez,Kiss & Tell ,2009,Naturally,29,21,
Selena Gomez,Kiss & Tell ,2009,The Way I Loved You,,,
Selena Gomez,Kiss & Tell ,2009,More,,,
Selena Gomez,Kiss & Tell ,2009,As A Blonde,,,
Selena Gomez,Kiss & Tell ,2009,I Don't Miss You At All,,,
Selena Gomez,Kiss & Tell ,2009,Stop & Erase,,,
Selena Gomez,Kiss & Tell ,2009,I Got U,,,
Selena Gomez,Kiss & Tell ,2009,Tell Me Something I Don't Know,58,4,
Selena Gomez,When The Sun Goes Down,2011,Love You Like A Love Song,22,38,
Selena Gomez,When The Sun Goes Down,2011,Bang Bang Bang,94,1,
Selena Gomez,When The Sun Goes Down,2011,Who Says,21,20,
Selena Gomez,When The Sun Goes Down,2011,We Own The Night - Featuring Pizie Lott,,,
Selena Gomez,When The Sun Goes Down,2011,Hit The Lights,,,
Selena Gomez,When The Sun Goes Down,2011,Whiplash,,,
Selena Gomez,When The Sun Goes Down,2011,When The Sun Goes Down,,,
Selena Gomez,When The Sun Goes Down,2011,My Dilemma ,,,
Selena Gomez,When The Sun Goes Down,2011,That's More Like It,,,
Selena Gomez,When The Sun Goes Down,2011,Outlaw,,,
Selena Gomez,When The Sun Goes Down,2011,Middle Of Nowhere,,,
Selena Gomez,When The Sun Goes Down,2011,Dices,,,
Selena Gomez,Stars Dance (Bonus Track Version),2013,Birthday,,,
Selena Gomez,Stars Dance (Bonus Track Version),2013,Slow Down,27,20,
Selena Gomez,Stars Dance (Bonus Track Version),2013,Stars Dance,,,
Selena Gomez,Stars Dance (Bonus Track Version),2013,Like a Chamption,,,
Selena Gomez,Stars Dance (Bonus Track Version),2013,Come & Get It,6,22,
Selena Gomez,Stars Dance (Bonus Track Version),2013,Forget Forever,,,
Selena Gomez,Stars Dance (Bonus Track Version),2013,Save The Day,,,
Selena Gomez,Stars Dance (Bonus Track Version),2013,B.E.A.T.,,,
Selena Gomez,Stars Dance (Bonus Track Version),2013,Write Your Name,,,
Selena Gomez,Stars Dance (Bonus Track Version),2013,Undercover,,,
Selena Gomez,Stars Dance (Bonus Track Version),2013,Love Will Remember,,,
Selena Gomez,Stars Dance (Bonus Track Version),2013,Nobody Does It Like You - Bonus Track,,,
Selena Gomez,Stars Dance (Bonus Track Version),2013,Music Feels Better - Bonus Track,,,
Selena Gomez,Rare,2020,Rare,30,7,
Selena Gomez,Rare,2020,Dance Again,,,
Selena Gomez,Rare,2020,Look At Her Now,27,4,
Selena Gomez,Rare,2020,Lose You To Love Me,1,23,
Selena Gomez,Rare,2020,Ring,,,
Selena Gomez,Rare,2020,Vulnerable,,,
Selena Gomez,Rare,2020,People You Know,,,
Selena Gomez,Rare,2020,Let Me Get Me,,,
Selena Gomez,Rare,2020,Crowded Room (feat. 6LACK),,,
Selena Gomez,Rare,2020,Kinda Crazy,,,
Selena Gomez,Rare,2020,Fun,,,
Selena Gomez,Rare,2020,Cut You Off,,,E
Selena Gomez,Rare,2020,A Sweeter Place (feat. Kid Cudi),,,
